full_text,tokenized_text
skrg kaderisasi harus  esensinya amp berfokus dalam pengembangan maba katalis adaptif di lingkungan perkuliahan dan hal ini harus terjadi di semua himpunan pertanyaannya bagaimana semua himpunan di its secara harmonis bisa memberikan kaderisasi  bagus dan jelas,"['skrg', 'kaderisasi', 'esensinya', 'amp', 'berfokus', 'pengembangan', 'maba', 'katalis', 'adaptif', 'lingkungan', 'perkuliahan', 'himpunan', 'pertanyaannya', 'himpunan', 'its', 'harmonis', 'kaderisasi', 'bagus']"
himpunan  kaderisasinya masih  bentakbentak marahmarah lalu larangan aneh misal  boleh lorong atau suatu tempat karena belum warga,"['himpunan', 'kaderisasinya', 'bentakbentak', 'marahmarah', 'larangan', 'aneh', 'lorong', 'warga']"
info nyari temen  mau liburan ke pantai tulungagung,"['info', 'nyari', 'temen', 'liburan', 'pantai', 'tulungagung']"
permisi masmba besok   naik kreta ini kah di gerbong klo  mintol rep yak,"['permisi', 'masmba', 'besok', 'kreta', 'kah', 'gerbong', 'klo', 'mintol', 'rep', 'yak']"
pengisian terakhir ipd kapan ,"['pengisian', 'ipd']"
persepsi kalian ke anak padus tuh gimana si ,"['persepsi', 'anak', 'padus', 'tuh', 'gimana', 'si']"
persepsi kalian para mahasiswi terhadap anak band tuh gimana si,"['persepsi', 'mahasiswi', 'anak', 'band', 'tuh', 'gimana', 'si']"
kalo mahasiswa lagi liburan,"['kalo', 'mahasiswa', 'liburan']"
sender pingin balik ke bdg,"['sender', 'pingin', 'bdg']"
ayok  skem nya masii kurang bisaa join niii,"['ayok', 'skem', 'nya', 'masii', 'bisaa', 'join', 'niii']"
inpo webinar dongg,"['inpo', 'webinar', 'dongg']"
kaderisasi emang boleh sebentak bentak dan larang larang dengan konsekuensi  jelas gitu,"['kaderisasi', 'emang', 'sebentak', 'bentak', 'larang', 'larang', 'konsekuensi', 'gitu']"
rekomendasi backpack buat kado ,"['rekomendasi', 'backpack', 'kado']"
adakah  mau dm an sm sender sender co maba,"['adakah', 'dm', 'an', 'sm', 'sender', 'sender', 'co', 'maba']"
yng belum balik kampung  yng mau nemenin ke kondangan  hari sabtu besok wkwk btw sender cowok,"['yng', 'kampung', 'yng', 'nemenin', 'kondangan', 'sabtu', 'besok', 'wkwk', 'btw', 'sender', 'cowok']"
beli basreng  murah di sekitar its dmn  ,"['beli', 'basreng', 'murah', 'its', 'dmn']"
kalau mau lihat draft matkul semester depan dmna  katanya  ekuivalensi jadi  perbedaan matkul sm kurikulum,"['lihat', 'draft', 'matkul', 'semester', 'dmna', 'ekuivalensi', 'perbedaan', 'matkul', 'sm', 'kurikulum']"
emang boleh sekader ini,"['emang', 'sekader']"
halooo mau tanya,['halooo']
butuh banget kosan  budget di bawah juta  penting kamar bersih sama lingkungan nya spill in  nanti aku hit by dm lokasi mana aja mau,"['butuh', 'banget', 'kosan', 'budget', 'juta', 'kamar', 'bersih', 'lingkungan', 'nya', 'spill', 'in', 'hit', 'by', 'dm', 'lokasi', 'aja']"
upp pls hellp sender  kehausan,"['upp', 'pls', 'hellp', 'sender', 'kehausan']"
nongkrong sampe pagi,"['nongkrong', 'sampe', 'pagi']"
disuruh buat cv ats,"['disuruh', 'cv', 'ats']"
kalau memang dari departemen mendapati kegiatan kaderisasi  isinya cuma bentakbentak gw setuju dihapus,"['departemen', 'mendapati', 'kegiatan', 'kaderisasi', 'isinya', 'bentakbentak', 'gw', 'setuju', 'dihapus']"
 kontak anter galon aqua  bisa anter sekarang  yaaa galonku dah abis n langgananku udah pada tutup hikss,"['kontak', 'anter', 'galon', 'aqua', 'anter', 'yaaa', 'galonku', 'dah', 'abis', 'n', 'langgananku', 'udah', 'tutup', 'hikss']"
,[]
 tempat jual pancong di mana ,"['jual', 'pancong']"
ipd itu anonim ngga si kalo kritik pedas aman ngga ,"['ipd', 'anonim', 'ngga', 'si', 'kalo', 'kritik', 'pedas', 'aman', 'ngga']"
info kos putri dongg    dalam under jt wilayah mana aja  penting deket its,"['info', 'kos', 'putri', 'dongg', 'under', 'jt', 'wilayah', 'aja', 'deket', 'its']"
halo permisi masmbarek sekalian  pernah menggunakan jasa jahit,"['halo', 'permisi', 'masmbarek', 'jasa', 'jahit']"
,[]
 kalau lari sore di enaknya jam berapa  sama parkir dimana,"['lari', 'sore', 'enaknya', 'jam', 'parkir', 'dimana']"
 feedback dari pengisian ipd itu nanti masuk ke mana  apakah aman untuk memberikan kritik ke dosen  under perform,"['feedback', 'pengisian', 'ipd', 'masuk', 'aman', 'kritik', 'dosen', 'under', 'perform']"
sumpah jaman sekarang masih  aja dosen mesm bangeettt,"['sumpah', 'jaman', 'aja', 'dosen', 'mesm', 'bangeettt']"
dicari stnk hilang plis banget l aae an makkasin yusuf  nemu diharap menghubungi trimakasii,"['dicari', 'stnk', 'hilang', 'plis', 'banget', 'l', 'aae', 'an', 'makkasin', 'yusuf', 'nemu', 'diharap', 'menghubungi', 'trimakasii']"
wdyt departemen  ancenaman kalo  dateng kesuatu acara webinar selalu nanti nilainya nggak keluar,"['wdyt', 'departemen', 'ancenaman', 'kalo', 'dateng', 'kesuatu', 'acara', 'webinar', 'nilainya', 'nggak']"
selamat sianggg tubessss semangat kerjanya yaaa kabarin aku trus  tubesssss aku sayang bgt sma tubes aku cinta bgt sma  tubes aku kita harus sama sama slmanya muaccchhhh,"['selamat', 'sianggg', 'tubessss', 'semangat', 'kerjanya', 'yaaa', 'kabarin', 'trus', 'tubesssss', 'sayang', 'bgt', 'sma', 'tubes', 'cinta', 'bgt', 'sma', 'tubes', 'slmanya', 'muaccchhhh']"
saran dessert enak di papaya selain mochi,"['saran', 'dessert', 'enak', 'papaya', 'mochi']"
   pernah kursus bhs inggris di kampung pare gak mau reviewnya  sekalian kalo  rekomendasi lembaganya tengkyuu,"['kursus', 'bhs', 'inggris', 'kampung', 'pare', 'gak', 'reviewnya', 'kalo', 'rekomendasi', 'lembaganya', 'tengkyuu']"
